utterance_id,source,brand,language,url,utterance_text,opportunity_area,temporal_stance,severity,hesitation_marker,labeller_note
a29f27804f0c1ecd596ff1dcd4ebd4213fd1cf24,appstore,ajio,en,https://apps.apple.com/in/app/id1113425372,I will order five dress but I received only one one dress,,,,,
20b6e2e868ca2acac6fc6e5c3c6c79c6467c42af,appstore,ajio,en,https://apps.apple.com/in/app/id1113425372,Horrible return policy and terrible customer experience,,,,,
26eb7909b546b491fe3284a21cb22b31411d6db1,appstore,ajio,en,https://apps.apple.com/in/app/id1113425372,What rubbish thing is this,,,,,
af3e63b8e4cf77d06081073e46a8d899de209a3b,appstore,ajio,en,https://apps.apple.com/in/app/id1113425372,My 2000 rs stucked in Ajio wallet.,,,,,
eafb5cccca16ffa92dea5ad8fb811d503c799291,appstore,ajio,en,https://apps.apple.com/in/app/id1113425372,REFUND EXTRA DELAY.,,,,,
d32f43d116c0e53c8945e56b7690dc70100fc4ce,appstore,ajio,en,https://apps.apple.com/in/app/id1113425372,Worst cheap products.,,,,,
2b138b163a44de991760a37c33288b26809413d6,appstore,ajio,en,https://apps.apple.com/in/app/id1113425372,"Their customer care team has just one standard line: ""We regret the issue caused on our end, but we cannot refund the full amount""—that is the only thing they say",,,,,
2a886732cdf80ba872c1050e61fc6c86c51a14fd,appstore,ajio,en,https://apps.apple.com/in/app/id1113425372,Never opens when i click on sony headphones.,,,,,
00a1471782817fa2a1c529a75357b325efa02ef8,appstore,ajio,en,https://apps.apple.com/in/app/id1113425372,"Don’t ever buy from this pathetic app, they show something and deliver something and return refund takes forever",,,,,
50a50f481776d6be90a4c56ae3c0451a98b5264d,appstore,ajio,en,https://apps.apple.com/in/app/id1113425372,"Surprisingly, even after waiting for 2 days, the order was not delivered.",,,,,
65d1b53cc915f8e7cd8ea99b16a554dcc375492b,appstore,ajio,en,https://apps.apple.com/in/app/id1113425372,"I've wasted hours following up, but there has been **no proper response, no accountability, and no refund**.",,,,,
c0f795986c0025c13395025ff6fd039d02698dc3,appstore,ajio,en,https://apps.apple.com/in/app/id1113425372,"In my case, one product cannot be cancelled through the app, and even the Customer Care team is unable to cancel it or provide a proper solution.",,,,,
f80ac27d6fa80d3b533d996e108f182b79ce0c5e,appstore,ajio,en,https://apps.apple.com/in/app/id1113425372,I hope no other customer has to face a similar experience,,,,,
45512c13258426cf505da483b1a9860901cb1437,appstore,ajio,en,https://apps.apple.com/in/app/id1113425372,Good. Nice Collection,,,,,
15d3340e708397ab00a782eeb6b73b2eee923b76,appstore,ajio,en,https://apps.apple.com/in/app/id1113425372,3. There is a bbs sale going on and i applied luxe20.,,,,,
98e8023d9be88335a98ff523eff48a6c374833b9,appstore,ajio,en,https://apps.apple.com/in/app/id1113425372,Excellent. Superb thanks to AJIO 🫡,,,,,
ce5a049ed51525febd3e082b3551b43e46144102,appstore,myntra,en,https://apps.apple.com/in/app/id907394059,Shopping. Best app for shopping,,,,,
fbc3d1c69a0ceaec513363a7ed0ec9fa8f1445eb,appstore,myntra,hinglish,https://apps.apple.com/in/app/id907394059,Myntra se achha to messo or flipcart h,,,,,
06f1e892b475ec9c7ef6b3f16d56914039fd88f0,appstore,myntra,en,https://apps.apple.com/in/app/id907394059,Excellent App. Excellent,,,,,
91eddd5cf029bed7881b01a4d0005cf252444c72,appstore,myntra,en,https://apps.apple.com/in/app/id907394059,10 out of 10,,,,,
9b1c1d7ed0298d02f81de2563428d8eab903da95,appstore,myntra,en,https://apps.apple.com/in/app/id907394059,Taking customers’ money and refusing to take responsibility is unacceptable.,,,,,
124704e5aa15e37acddbb85f10310f8d04b1d8bc,appstore,myntra,en,https://apps.apple.com/in/app/id907394059,"Their callback service fails to connect, customer care lines are perpetually busy, and no one has initiated the pickup or processed my refund. This is not merely about the cost of the jeans; it is a breach of consumer trust.",,,,,
eb752b4a11b7ede630bb77e1e288070103252f25,appstore,myntra,en,https://apps.apple.com/in/app/id907394059,Blessed to Have Myntra App.,,,,,
3a4939723736ce195e090597b1335062cd9587f2,appstore,myntra,en,https://apps.apple.com/in/app/id907394059,Fabulous Shopping App.,,,,,
8df52f862d6f9ac68c687cdfe4fd5978192eeffa,appstore,myntra,en,https://apps.apple.com/in/app/id907394059,"Even before today, there was no proper delivery attempt made for my order.",,,,,
30b9f9acb8f7efe8cb806c586ca15d1138cc7bc6,appstore,myntra,en,https://apps.apple.com/in/app/id907394059,No matter what if the customer have received a damaged product it’s the sole liability of myntra to conform with the effective support.,,,,,
6cfe5f3db0ee44da2c6fa1e0688cb3c9995596fe,appstore,myntra,en,https://apps.apple.com/in/app/id907394059,Awesome. Wonderful user experience and search,,,,,
d1a6b3733b6d71fa39383c9b843176689e3661f7,appstore,myntra,en,https://apps.apple.com/in/app/id907394059,myntra never disappointed me❤️,,,,,
06bdc8fe671df4b57606a89b91be7b4218b5884b,appstore,myntra,en,https://apps.apple.com/in/app/id907394059,Gud quality. Awesome products,,,,,
9e487755f452699e6e3c5603226c0f442f825800,appstore,myntra,en,https://apps.apple.com/in/app/id907394059,Been using for years now so good,,,,,
0bdec50db6b90d2193095b5b2c645939286e9ae6,appstore,myntra,en,https://apps.apple.com/in/app/id907394059,Shopping. Good and trustworthy online shopping site,,,,,
856361626746121ca67cb09606fceebd650c8ab3,appstore,myntra,en,https://apps.apple.com/in/app/id907394059,Easy shopping experience.,,,,,
c5b0685c9d352e601703dec7da709e70ea38e8eb,appstore,nykaa_fashion,en,https://apps.apple.com/in/app/id1439872423,Not gonna trust these people with my,,,,,
102b74cd62deeb50eefd9a5d9e58ee48bf78aeda,appstore,nykaa_fashion,en,https://apps.apple.com/in/app/id1439872423,I kept responding that I’m home and available,,,,,
3893499434bb0dceedbc8074a3b3a9b3366a26a4,appstore,nykaa_fashion,en,https://apps.apple.com/in/app/id1439872423,"I also tried reaching out through the Nykaa Fashion portal multiple times, but no resolution or help has been provided from their end.",,,,,
ca48539d1f9512e857ef6c7f5bc70975aacd318c,appstore,nykaa_fashion,en,https://apps.apple.com/in/app/id1439872423,"When I tried to return an item, I received zero assistance.",,,,,
3fbdb6e779c999d5aafb76156e613741b413f9bc,appstore,nykaa_fashion,en,https://apps.apple.com/in/app/id1439872423,"I ordered four kurta set on 2 July and delivery date was 7th July 2026 and today 18 July and still I am waiting for my order and the amount of order already paid and I contact to Nykaa Fashion customer team, they just do time pass job, no one take responsibility for my order.",,,,,
71c9263abac6a6d2c36c21ec29b1cc8bcb9b8f52,appstore,nykaa_fashion,en,https://apps.apple.com/in/app/id1439872423,Really love this application very much and collections seeding is very easy,,,,,
fcf27ef4d39546b8f5b53b36a7c3803fefd54168,appstore,nykaa_fashion,en,https://apps.apple.com/in/app/id1439872423,Would not recommend Nykaa Fashion,,,,,
e8175b34a561e44de78c12c6bb5a21ae0a3f9bbb,appstore,nykaa_fashion,en,https://apps.apple.com/in/app/id1439872423,My clothes are still lying here at home waiting to be picked up and these guys have no shame to even bother with it.,,,,,
a9a12cece8619d78a5989bc16f43ed981df3c56a,appstore,nykaa_fashion,en,https://apps.apple.com/in/app/id1439872423,Incredibly disappointing customer service.,,,,,
5b144a2fe77da4986be5435e79bbbcfd7e34c181,appstore,nykaa_fashion,en,https://apps.apple.com/in/app/id1439872423,"If the product doesn’t reach the customer, good quality becomes irrelevant.",,,,,
2c2da65c70daf38d4621ff6b12712c7e631fe691,appstore,nykaa_fashion,en,https://apps.apple.com/in/app/id1439872423,I never received the product apparently went missing and the worst customer service I have ever seen.,,,,,
69bfc97ac09c9c05048b5c021853d8dca469e73f,appstore,nykaa_fashion,en,https://apps.apple.com/in/app/id1439872423,I am not blaming the person who assisted but the response they gave,,,,,
a2db834d9211a50608e67b7147b66bf4d10fde88,appstore,nykaa_fashion,en,https://apps.apple.com/in/app/id1439872423,Never happened in other online shopping apps!,,,,,
1de7ed7257ac9b57e2e3f6896189177e46ac9484,appstore,nykaa_fashion,en,https://apps.apple.com/in/app/id1439872423,I did some shopping for 2400+ and applied this coupon it gave me discount of 200rs and the amount I had to pay was 2200+ so I clicked Proceed to payment and I choose google pay and it ask me for permission to open then I paid as soon as I paid the amount I realised I paid the actual amount that's 2400+ not the one it showed me before Proceed to payment that's 2200+.,,,,,
a79f794d6abe1d05499305ed1d060cb53e547463,appstore,nykaa_fashion,en,https://apps.apple.com/in/app/id1439872423,just shut down the app.,,,,,
11ab591377e530950588d782db51762bc3a727f9,appstore,nykaa_fashion,en,https://apps.apple.com/in/app/id1439872423,One of the worst shopping experiences I’ve had,,,,,
940eb59b55e92c1d5b66a06df67d5e77f6131d0d,play,ajio,en,https://play.google.com/store/apps/details?id=com.ril.ajio&reviewId=903ca2c9-7552-48b2-8084-18f96e56f058,"When I contacted customer support to initiate a return, they flatly refused, claiming their system shows the ""correct item was sent.""",,,,,
956162eb1923a9ed403879abfa24784253951f44,play,ajio,en,https://play.google.com/store/apps/details?id=com.ril.ajio&reviewId=d7c98454-74fe-4b13-a520-89ef3a11f777,delivery worst pickup very very worst,,,,,
87417f457e0dc997aa96603366567882064b5ed5,play,ajio,en,https://play.google.com/store/apps/details?id=com.ril.ajio&reviewId=84f3832d-874a-4f2f-93f2-a274bceb6629,but you rate is every product,,,,,
